Booking_ID,Hotel_Type,Season,Rooms_Available,Base_Price,Demand_Level,Booking_Probability,Dynamic_Price,Revenue
81,City Hotel,Off-Peak,21,261,Low,0.57,353.4,201.44
82,Resort Hotel,Off-Peak,159,262,High,0.27,320.09,86.42
83,City Hotel,Off-Peak,154,221,High,0.64,255.95,163.81
84,Resort Hotel,Off-Peak,147,81,Low,0.71,68.26,48.46
85,City Hotel,Off-Peak,127,228,High,0.76,228.34,173.54
86,City Hotel,Holiday,31,223,Low,0.5,192.96,96.48
87,Resort Hotel,Holiday,129,162,Medium,0.65,238.9,155.28
88,City Hotel,Off-Peak,59,169,Low,0.56,151.18,84.66
89,Resort Hotel,Peak,23,198,Medium,0.74,179.44,132.79
90,Resort Hotel,Off-Peak,184,276,High,0.67,392.67,263.09
91,Resort Hotel,Peak,38,171,Medium,0.62,249.79,154.87
92,Resort Hotel,Off-Peak,173,81,High,0.4,108.22,43.29
93,Resort Hotel,Off-Peak,189,271,Low,0.2,217.83,43.57
94,Resort Hotel,Holiday,134,168,High,0.34,134.56,45.75
95,Resort Hotel,Peak,16,88,Low,0.29,93.69,27.17
96,Resort Hotel,Peak,38,290,Low,0.56,261.11,146.22
97,Resort Hotel,Holiday,148,61,Medium,0.69,49.59,34.22
98,Resort Hotel,Holiday,42,282,Medium,0.37,317.21,117.37
99,Resort Hotel,Holiday,143,224,Medium,0.95,327.07,310.72
100,City Hotel,Holiday,120,67,Medium,0.21,68.79,14.45
101,City Hotel,Peak,88,198,High,0.82,250.03,205.02
102,Resort Hotel,Peak,169,190,High,0.7,238.75,167.12
103,Resort Hotel,Off-Peak,188,198,High,0.5,193.2,96.6
104,Resort Hotel,Off-Peak,67,175,Low,0.24,219.68,52.72
105,Resort Hotel,Holiday,35,185,High,0.7,175.5,122.85
106,Resort Hotel,Holiday,183,95,High,0.51,84.11,42.9
107,Resort Hotel,Holiday,38,153,High,0.95,197.52,187.64
108,Resort Hotel,Off-Peak,13,287,Medium,0.63,252.39,159.01
109,Resort Hotel,Off-Peak,108,184,High,0.95,275.6,261.82
110,City Hotel,Off-Peak,150,200,Low,0.38,185.68,70.56
111,Resort Hotel,Off-Peak,48,285,Medium,0.78,346.53,270.29
112,City Hotel,Off-Peak,24,273,Low,0.69,297.01,204.94
113,Resort Hotel,Off-Peak,128,252,High,0.79,223.89,176.87
114,Resort Hotel,Off-Peak,38,135,Medium,0.37,110.63,40.93
115,City Hotel,Holiday,166,199,Low,0.73,245.95,179.54
116,Resort Hotel,Holiday,84,284,High,0.6,387.58,232.55
117,City Hotel,Holiday,125,138,Low,0.79,191.74,151.47
118,Resort Hotel,Holiday,41,71,Low,0.46,80.79,37.16
119,Resort Hotel,Off-Peak,139,141,Low,0.91,189.53,172.47
120,City Hotel,Peak,184,78,High,0.27,99.14,26.77
121,Resort Hotel,Off-Peak,93,62,High,0.85,81.03,68.88
122,City Hotel,Peak,31,259,Low,0.89,296.51,263.89
123,Resort Hotel,Holiday,36,51,Medium,0.85,63.41,53.9
124,City Hotel,Off-Peak,90,78,Medium,0.61,106.38,64.89
125,City Hotel,Holiday,135,262,High,0.55,282.57,155.41
126,Resort Hotel,Off-Peak,193,256,High,1.0,349.23,349.23
127,Resort Hotel,Holiday,101,229,High,0.38,278.1,105.68
128,City Hotel,Peak,30,76,High,0.64,69.63,44.56
129,Resort Hotel,Peak,56,99,High,0.74,80.91,59.87
130,Resort Hotel,Peak,110,144,Medium,0.76,151.77,115.35
131,Resort Hotel,Off-Peak,196,256,High,0.36,302.77,109.0
132,City Hotel,Peak,93,292,Low,0.72,405.26,291.79
133,City Hotel,Off-Peak,15,200,Low,0.85,177.85,151.17
134,City Hotel,Peak,156,137,Medium,0.24,186.34,44.72
135,City Hotel,Peak,194,93,Low,0.93,130.58,121.44
136,City Hotel,Off-Peak,140,254,Medium,0.22,229.99,50.6
137,City Hotel,Off-Peak,10,71,Medium,0.48,99.12,47.58
138,City Hotel,Peak,67,220,Low,0.21,328.68,69.02
139,City Hotel,Off-Peak,133,214,High,0.26,280.08,72.82
140,City Hotel,Peak,175,238,Low,0.93,321.14,298.66
141,Resort Hotel,Off-Peak,24,146,Low,0.48,218.43,104.85
142,City Hotel,Holiday,171,233,Medium,0.54,285.15,153.98
143,Resort Hotel,Holiday,198,52,Low,0.37,52.81,19.54
144,Resort Hotel,Holiday,172,240,Medium,0.68,332.71,226.24
145,Resort Hotel,Holiday,73,167,High,0.68,205.43,139.69
146,City Hotel,Holiday,34,68,High,0.5,82.06,41.03
147,City Hotel,Peak,33,72,High,0.47,70.38,33.08
148,City Hotel,Holiday,21,206,Low,0.91,273.86,249.21
149,City Hotel,Holiday,27,79,Medium,0.51,67.72,34.54
150,Resort Hotel,Holiday,24,88,High,0.59,127.34,75.13
151,City Hotel,Holiday,36,157,Medium,0.43,161.41,69.41
152,City Hotel,Off-Peak,81,160,Medium,0.83,142.31,118.12
153,City Hotel,Peak,69,74,High,0.52,82.11,42.7
154,City Hotel,Holiday,183,177,High,0.61,146.86,89.58
155,City Hotel,Holiday,154,278,Medium,0.4,355.63,142.25
156,Resort Hotel,Holiday,102,160,High,0.99,229.1,226.81
157,City Hotel,Peak,62,185,Medium,0.43,256.43,110.26
158,Resort Hotel,Off-Peak,17,155,Medium,0.82,137.82,113.01
159,City Hotel,Peak,88,235,High,0.54,208.77,112.74
160,Resort Hotel,Off-Peak,36,193,Low,0.36,264.29,95.14
161,City Hotel,Holiday,183,121,High,0.84,175.08,147.07
162,City Hotel,Holiday,59,178,Low,0.47,199.8,93.91
163,Resort Hotel,Peak,140,157,Medium,0.89,180.44,160.59
164,Resort Hotel,Peak,102,54,Medium,0.93,55.23,51.36
165,Resort Hotel,Off-Peak,181,52,Low,0.89,74.15,65.99
166,City Hotel,Off-Peak,190,242,Medium,0.23,302.85,69.66
167,Resort Hotel,Peak,33,181,Low,0.83,181.32,150.5
168,City Hotel,Off-Peak,69,153,Low,0.53,154.4,81.83
169,City Hotel,Peak,131,276,Medium,0.9,392.98,353.68
170,Resort Hotel,Off-Peak,140,273,Low,0.71,221.01,156.92
171,Resort Hotel,Peak,157,113,High,0.87,115.93,100.86
172,City Hotel,Peak,55,155,High,0.6,184.15,110.49
173,City Hotel,Peak,24,147,Medium,0.63,132.85,83.7
174,Resort Hotel,Off-Peak,162,284,Medium,0.32,245.51,78.56
175,Resort Hotel,Off-Peak,26,266,Low,0.83,364.6,302.62
176,Resort Hotel,Off-Peak,135,59,Low,0.54,84.14,45.44
177,City Hotel,Peak,93,198,Low,0.6,272.55,163.53
178,City Hotel,Off-Peak,18,177,Low,0.83,252.96,209.96
179,City Hotel,Off-Peak,175,95,High,0.68,112.78,76.69
180,City Hotel,Peak,185,280,High,0.36,383.2,137.95
181,City Hotel,Holiday,197,268,Medium,0.67,286.45,191.92
182,City Hotel,Peak,72,204,Low,0.53,258.34,136.92
183,Resort Hotel,Off-Peak,126,115,Low,0.58,171.6,99.53
184,City Hotel,Peak,139,218,Medium,0.22,208.85,45.95
185,City Hotel,Holiday,97,161,Low,0.37,172.74,63.91
186,City Hotel,Peak,81,62,Low,0.42,70.43,29.58
187,Resort Hotel,Off-Peak,148,186,Low,0.77,166.77,128.41
188,City Hotel,Holiday,73,293,Low,0.21,251.02,52.71
189,City Hotel,Off-Peak,81,213,Low,0.53,294.11,155.88
190,Resort Hotel,Holiday,30,135,Medium,0.94,200.31,188.29
191,City Hotel,Holiday,27,283,Low,0.29,306.58,88.91
192,City Hotel,Peak,73,139,Medium,0.61,119.73,73.04
193,City Hotel,Peak,91,107,Low,0.83,90.53,75.14
194,City Hotel,Off-Peak,119,103,High,0.95,146.66,139.33
195,City Hotel,Peak,104,61,High,0.8,68.6,54.88
196,Resort Hotel,Peak,175,258,High,0.78,264.2,206.08
197,Resort Hotel,Holiday,41,255,High,0.86,289.05,248.58
198,Resort Hotel,Peak,20,63,Medium,0.56,64.44,36.09
199,City Hotel,Holiday,54,170,Medium,0.84,194.2,163.13
200,City Hotel,Holiday,42,211,Low,0.21,295.76,62.11
201,City Hotel,Holiday,111,230,High,0.94,279.36,262.6
202,Resort Hotel,Off-Peak,178,170,Medium,0.55,218.66,120.26
203,City Hotel,Off-Peak,145,69,Low,0.64,72.81,46.6
204,City Hotel,Off-Peak,20,124,Low,0.4,163.3,65.32
205,Resort Hotel,Holiday,188,193,Medium,0.79,244.46,193.12
206,City Hotel,Off-Peak,97,292,High,0.26,258.04,67.09
207,Resort Hotel,Off-Peak,50,272,Low,0.9,326.63,293.97
208,Resort Hotel,Peak,154,296,High,0.86,290.0,249.4
209,Resort Hotel,Off-Peak,85,119,High,0.37,162.18,60.01
210,City Hotel,Off-Peak,130,105,High,0.85,115.31,98.01
211,City Hotel,Holiday,55,260,Low,0.83,389.03,322.89
212,City Hotel,Holiday,169,150,High,0.71,129.71,92.09
213,City Hotel,Holiday,89,235,Low,0.5,316.37,158.18
214,City Hotel,Holiday,63,181,High,0.42,230.16,96.67
215,City Hotel,Holiday,95,160,Low,0.39,213.96,83.44
216,City Hotel,Holiday,101,174,High,0.45,176.66,79.5
217,Resort Hotel,Off-Peak,157,181,Medium,0.92,207.14,190.57
218,City Hotel,Holiday,170,69,High,0.26,93.67,24.35
219,Resort Hotel,Holiday,177,187,High,0.86,180.04,154.83
220,City Hotel,Peak,169,73,Low,0.48,69.95,33.58
221,City Hotel,Off-Peak,106,295,Low,0.62,349.79,216.87
222,City Hotel,Off-Peak,11,276,High,0.84,321.95,270.44
223,Resort Hotel,Off-Peak,42,203,Medium,0.91,202.51,184.28
224,Resort Hotel,Holiday,167,86,Medium,0.48,86.74,41.64
225,Resort Hotel,Holiday,170,279,Low,0.57,277.46,158.15
226,Resort Hotel,Holiday,86,262,Medium,0.53,351.1,186.08
227,City Hotel,Peak,125,103,High,0.21,129.4,27.17
228,Resort Hotel,Holiday,163,281,Low,0.44,388.54,170.96
229,City Hotel,Peak,159,152,High,0.57,225.39,128.47
230,City Hotel,Off-Peak,112,198,Low,0.53,224.12,118.78
231,Resort Hotel,Holiday,175,251,Low,0.78,212.52,165.77
232,Resort Hotel,Peak,112,87,Low,0.51,72.53,36.99
233,Resort Hotel,Peak,99,223,Low,0.59,224.55,132.48
234,Resort Hotel,Holiday,183,53,Medium,0.54,77.0,41.58
235,Resort Hotel,Off-Peak,131,237,High,0.79,276.4,218.36
236,Resort Hotel,Off-Peak,152,106,High,0.89,104.97,93.42
237,Resort Hotel,Off-Peak,115,222,High,0.63,239.63,150.97
238,Resort Hotel,Peak,128,69,Low,0.83,84.11,69.81
239,City Hotel,Peak,181,66,Medium,0.44,82.97,36.51
240,Resort Hotel,Peak,58,168,High,0.63,152.5,96.08
241,Resort Hotel,Peak,113,120,Medium,0.48,178.07,85.47
242,City Hotel,Off-Peak,70,53,Low,0.53,62.61,33.18
243,Resort Hotel,Holiday,132,270,High,0.79,241.65,190.9
244,City Hotel,Peak,143,63,Medium,0.91,89.81,81.73
245,City Hotel,Peak,18,52,Low,0.3,44.32,13.3
246,Resort Hotel,Off-Peak,15,265,Medium,0.71,380.38,270.07
247,City Hotel,Holiday,82,278,High,0.67,416.33,278.94
248,City Hotel,Holiday,112,129,High,0.29,166.45,48.27
249,City Hotel,Off-Peak,169,235,Low,0.37,314.74,116.45
250,City Hotel,Off-Peak,50,104,Low,0.45,107.76,48.49
251,Resort Hotel,Holiday,123,293,Low,0.33,427.52,141.08
252,City Hotel,Peak,17,181,Medium,0.39,211.91,82.64
253,Resort Hotel,Holiday,81,169,Medium,0.41,221.84,90.95
254,City Hotel,Off-Peak,187,73,Medium,0.47,105.62,49.64
255,City Hotel,Peak,101,211,Low,0.8,312.83,250.26
256,City Hotel,Peak,71,207,High,0.66,286.33,188.98
257,City Hotel,Off-Peak,93,131,High,0.99,132.59,131.26
258,Resort Hotel,Off-Peak,71,196,Medium,0.53,289.41,153.39
259,Resort Hotel,Off-Peak,120,208,Medium,0.8,257.85,206.28
260,City Hotel,Holiday,136,237,High,0.9,343.99,309.59
261,City Hotel,Holiday,16,109,High,0.74,138.79,102.7
262,Resort Hotel,Peak,93,196,Medium,0.53,198.95,105.44
263,City Hotel,Off-Peak,141,98,Medium,0.8,103.78,83.02
264,City Hotel,Peak,143,112,High,0.36,132.76,47.79
265,City Hotel,Peak,67,159,Low,0.46,215.13,98.96
266,Resort Hotel,Peak,31,260,Medium,0.64,265.87,170.16
267,Resort Hotel,Peak,163,199,High,0.66,239.96,158.37
268,Resort Hotel,Off-Peak,136,201,High,0.22,209.43,46.07
269,City Hotel,Peak,12,158,High,0.96,216.62,207.96
270,City Hotel,Off-Peak,136,125,High,0.76,140.84,107.04
271,Resort Hotel,Off-Peak,50,79,Low,0.6,67.44,40.46
272,Resort Hotel,Holiday,197,107,High,0.95,98.04,93.14
273,Resort Hotel,Off-Peak,115,279,Medium,0.55,235.13,129.32
274,Resort Hotel,Holiday,23,166,Low,0.98,190.82,187.0
275,City Hotel,Off-Peak,21,208,High,0.61,181.88,110.95
276,Resort Hotel,Off-Peak,96,149,Low,0.29,131.1,38.02
277,City Hotel,Off-Peak,21,241,Medium,0.81,351.55,284.76
278,Resort Hotel,Holiday,150,68,High,0.74,95.94,71.0
279,City Hotel,Holiday,34,225,Medium,0.82,251.2,205.98
280,Resort Hotel,Peak,54,222,High,0.96,330.79,317.56
281,Resort Hotel,Holiday,131,277,High,0.82,221.64,181.74
282,Resort Hotel,Holiday,156,143,High,0.69,175.86,121.34
283,Resort Hotel,Holiday,64,232,High,0.89,285.71,254.28
284,City Hotel,Holiday,109,162,High,0.74,181.47,134.29
285,Resort Hotel,Peak,182,232,Low,0.53,250.06,132.53
286,City Hotel,Holiday,145,274,High,0.91,306.54,278.95
287,City Hotel,Off-Peak,128,195,High,0.38,212.64,80.8
288,City Hotel,Off-Peak,62,112,Low,0.77,146.87,113.09
289,City Hotel,Holiday,192,165,Low,0.91,147.63,134.34
290,Resort Hotel,Holiday,41,162,Low,0.79,152.01,120.09
291,City Hotel,Off-Peak,60,269,Low,0.76,249.19,189.38
292,City Hotel,Off-Peak,53,96,Low,0.8,94.44,75.55
293,City Hotel,Peak,91,252,Low,0.57,294.26,167.73
294,Resort Hotel,Off-Peak,155,106,High,0.9,93.05,83.74
295,Resort Hotel,Off-Peak,159,167,High,0.36,235.09,84.63
296,Resort Hotel,Holiday,46,94,Medium,0.3,94.77,28.43
297,Resort Hotel,Off-Peak,105,210,High,0.43,191.89,82.51
298,City Hotel,Peak,65,194,High,0.63,246.95,155.58
299,City Hotel,Off-Peak,114,247,Low,0.61,204.19,124.56
300,Resort Hotel,Holiday,68,53,Low,0.86,65.4,56.24
301,City Hotel,Holiday,140,197,High,0.52,253.88,132.02
302,City Hotel,Off-Peak,165,289,Medium,0.59,274.68,162.06
303,City Hotel,Holiday,44,96,Low,0.21,79.62,16.72
304,Resort Hotel,Peak,198,268,High,0.53,282.62,149.79
305,Resort Hotel,Peak,102,192,High,0.72,166.85,120.13
306,City Hotel,Off-Peak,191,247,Medium,0.21,217.74,45.73
307,Resort Hotel,Off-Peak,106,96,Medium,0.42,93.89,39.43
308,Resort Hotel,Off-Peak,144,127,Low,0.37,127.87,47.31
309,Resort Hotel,Holiday,85,173,Medium,0.23,202.58,46.59
310,Resort Hotel,Peak,58,124,High,0.58,158.08,91.69
311,Resort Hotel,Peak,103,152,High,0.35,184.67,64.63
312,City Hotel,Holiday,168,186,Medium,0.79,168.12,132.81
313,Resort Hotel,Peak,195,139,Medium,0.88,127.94,112.59
314,City Hotel,Off-Peak,198,193,Medium,0.64,273.12,174.8
315,City Hotel,Off-Peak,33,118,Medium,0.99,140.52,139.11
316,Resort Hotel,Off-Peak,157,298,Low,0.56,419.87,235.13
317,City Hotel,Peak,46,293,Medium,0.61,310.6,189.47
318,City Hotel,Off-Peak,13,110,Low,0.99,135.31,133.96
319,City Hotel,Holiday,117,187,High,0.39,218.15,85.08
320,Resort Hotel,Holiday,135,99,Medium,0.95,101.32,96.25
321,Resort Hotel,Peak,29,52,Low,0.23,58.7,13.5
322,City Hotel,Holiday,197,254,Medium,0.56,292.54,163.82
323,Resort Hotel,Holiday,161,156,High,0.26,146.72,38.15
324,Resort Hotel,Peak,59,162,High,0.78,165.32,128.95
325,Resort Hotel,Off-Peak,186,143,High,0.69,193.62,133.6
326,Resort Hotel,Off-Peak,188,167,Medium,0.77,240.66,185.31
327,City Hotel,Off-Peak,105,286,Medium,0.5,300.83,150.42
328,City Hotel,Peak,114,247,Low,0.5,250.68,125.34
329,Resort Hotel,Holiday,173,130,High,0.24,121.76,29.22
330,Resort Hotel,Off-Peak,126,158,Medium,0.48,201.44,96.69
331,City Hotel,Off-Peak,107,100,High,0.94,102.62,96.46
332,City Hotel,Peak,75,294,High,0.5,438.48,219.24
333,Resort Hotel,Off-Peak,88,196,Low,0.87,201.48,175.29
334,City Hotel,Peak,171,219,Low,0.87,235.62,204.99
335,Resort Hotel,Holiday,173,84,Low,0.5,102.68,51.34
336,Resort Hotel,Peak,15,95,Low,0.71,129.31,91.81
337,City Hotel,Peak,48,203,High,0.28,229.12,64.15
338,City Hotel,Peak,179,292,Low,0.28,319.99,89.6
339,Resort Hotel,Peak,124,118,Low,0.24,176.64,42.39
340,Resort Hotel,Holiday,195,142,Low,0.66,114.64,75.66
341,City Hotel,Holiday,134,113,Low,0.54,161.2,87.05
342,Resort Hotel,Off-Peak,21,214,High,0.64,193.54,123.87
343,City Hotel,Holiday,140,261,Low,0.62,352.39,218.48
344,Resort Hotel,Holiday,27,98,High,0.48,120.79,57.98
345,City Hotel,Off-Peak,49,198,Medium,0.74,205.78,152.28
346,City Hotel,Holiday,30,123,High,0.81,173.64,140.65
347,City Hotel,Peak,152,241,High,0.21,194.98,40.95
348,Resort Hotel,Peak,108,54,Low,0.37,51.77,19.15
349,Resort Hotel,Off-Peak,35,149,Medium,0.77,178.33,137.31
350,City Hotel,Off-Peak,17,119,Medium,0.51,124.48,63.48
351,Resort Hotel,Off-Peak,109,139,Medium,0.73,170.59,124.53
352,City Hotel,Peak,96,53,Medium,0.48,43.29,20.78
353,City Hotel,Holiday,51,175,High,0.51,154.27,78.68
354,Resort Hotel,Peak,181,280,Medium,0.33,248.91,82.14
355,Resort Hotel,Off-Peak,23,88,High,0.41,82.06,33.64
356,City Hotel,Holiday,87,291,High,0.68,326.37,221.93
357,Resort Hotel,Holiday,11,212,High,0.55,281.22,154.67
358,Resort Hotel,Peak,128,178,Medium,0.82,255.23,209.29
359,City Hotel,Off-Peak,46,73,Low,0.88,101.09,88.96
360,City Hotel,Peak,78,106,Low,0.63,99.41,62.63
361,Resort Hotel,Holiday,175,149,Medium,0.81,165.21,133.82
362,City Hotel,Peak,50,119,Low,0.45,111.81,50.31
363,City Hotel,Peak,71,90,Low,0.53,88.66,46.99
364,Resort Hotel,Off-Peak,69,231,High,0.77,266.22,204.99
365,City Hotel,Off-Peak,134,223,High,0.51,189.03,96.41
366,City Hotel,Holiday,120,109,Medium,0.67,103.85,69.58
367,Resort Hotel,Peak,23,157,Medium,0.35,228.4,79.94
368,Resort Hotel,Peak,93,237,Low,0.68,266.93,181.51
369,City Hotel,Peak,139,106,High,0.89,117.85,104.89
370,City Hotel,Holiday,79,80,Medium,0.89,64.82,57.69
371,Resort Hotel,Holiday,154,133,Medium,0.78,129.43,100.96
372,Resort Hotel,Off-Peak,132,201,Medium,0.8,282.69,226.15
373,Resort Hotel,Off-Peak,98,266,Medium,0.65,243.45,158.24
374,Resort Hotel,Off-Peak,37,85,Medium,0.67,92.7,62.11
375,City Hotel,Peak,75,262,Medium,0.31,212.23,65.79
376,Resort Hotel,Peak,172,207,Low,0.56,234.91,131.55
377,Resort Hotel,Off-Peak,14,201,High,0.56,163.76,91.71
378,City Hotel,Peak,177,157,High,0.97,215.68,209.21
379,Resort Hotel,Off-Peak,193,155,Medium,0.54,213.5,115.29
380,City Hotel,Holiday,173,207,High,0.64,279.74,179.03
381,Resort Hotel,Off-Peak,54,135,High,0.63,134.78,84.91
382,Resort Hotel,Holiday,160,269,High,0.71,372.85,264.72
383,Resort Hotel,Peak,56,184,Medium,0.8,217.14,173.71
384,City Hotel,Off-Peak,40,212,Medium,0.38,225.07,85.53
385,City Hotel,Peak,148,232,High,0.62,287.15,178.03
386,Resort Hotel,Holiday,19,269,High,0.86,217.52,187.07
387,City Hotel,Holiday,127,63,Medium,0.57,56.7,32.32
388,City Hotel,Holiday,23,169,Low,0.42,223.01,93.66
389,City Hotel,Peak,89,187,High,0.72,181.56,130.72
390,City Hotel,Peak,102,129,Low,0.86,157.2,135.19
391,City Hotel,Peak,19,193,High,0.25,206.43,51.61
392,City Hotel,Peak,85,231,Low,0.82,323.02,264.88
393,Resort Hotel,Holiday,103,272,Low,0.86,398.94,343.09
394,Resort Hotel,Holiday,114,155,Low,0.57,219.87,125.33
395,City Hotel,Off-Peak,10,266,Medium,0.99,263.19,260.56
396,Resort Hotel,Off-Peak,142,254,Low,0.83,237.72,197.31
397,Resort Hotel,Peak,29,119,Low,0.82,134.72,110.47
398,Resort Hotel,Holiday,17,93,Low,0.8,74.88,59.9
399,Resort Hotel,Holiday,180,122,High,0.32,99.8,31.94
400,City Hotel,Holiday,10,94,Low,0.37,111.61,41.3
401,Resort Hotel,Off-Peak,66,277,High,0.57,322.52,183.84
402,Resort Hotel,Off-Peak,73,233,Low,0.41,348.62,142.93
403,City Hotel,Holiday,127,156,Low,0.53,146.84,77.83
404,City Hotel,Holiday,37,133,Medium,0.91,130.43,118.69
405,Resort Hotel,Holiday,130,131,High,0.86,115.21,99.08
406,Resort Hotel,Off-Peak,116,299,Low,0.7,431.24,301.87
407,Resort Hotel,Holiday,174,156,High,0.89,209.74,186.67
408,Resort Hotel,Holiday,184,234,High,0.83,321.9,267.18
409,Resort Hotel,Peak,174,70,Medium,0.54,100.24,54.13
410,Resort Hotel,Peak,58,245,Medium,0.36,286.02,102.97
411,City Hotel,Off-Peak,129,227,Medium,0.61,253.29,154.51
412,Resort Hotel,Holiday,53,210,Medium,0.79,216.57,171.09
413,Resort Hotel,Holiday,65,268,Medium,0.55,324.94,178.72
414,City Hotel,Peak,165,56,Medium,0.73,62.61,45.71
415,City Hotel,Off-Peak,120,119,Medium,0.28,132.82,37.19
416,City Hotel,Peak,143,176,Medium,0.8,256.23,204.98
